utc,f107_previous_day_sfu,f107_centered_81day_sfu,ap_daily,ap_current_3h,ap_3h_prior,ap_6h_prior,ap_9h_prior,ap_mean_12_33h,ap_mean_36_57h,interpolated_or_predicted
2025-03-20T00:00:00Z,179.500000,168.000000,5.000000,6.000000,15.000000,39.000000,18.000000,14.375000,13.875000,0
2025-03-20T03:00:00Z,179.500000,168.000000,5.000000,6.000000,6.000000,15.000000,39.000000,15.125000,13.500000,0
2025-03-20T06:00:00Z,179.500000,168.000000,5.000000,6.000000,6.000000,6.000000,15.000000,19.250000,12.000000,0
2025-03-20T09:00:00Z,179.500000,168.000000,5.000000,3.000000,6.000000,6.000000,6.000000,20.250000,11.375000,0
2025-03-20T12:00:00Z,179.500000,168.000000,5.000000,5.000000,3.000000,6.000000,6.000000,19.875000,10.625000,0
2025-03-20T15:00:00Z,179.500000,168.000000,5.000000,3.000000,5.000000,3.000000,6.000000,17.250000,12.125000,0
2025-03-20T18:00:00Z,179.500000,168.000000,5.000000,3.000000,3.000000,5.000000,3.000000,14.625000,14.375000,0
2025-03-20T21:00:00Z,179.500000,168.000000,5.000000,9.000000,3.000000,3.000000,5.000000,13.500000,14.750000,0
2025-03-21T00:00:00Z,170.200000,167.700000,24.000000,18.000000,9.000000,3.000000,3.000000,12.250000,14.375000,0
2025-03-21T03:00:00Z,170.200000,167.700000,24.000000,15.000000,18.000000,9.000000,3.000000,10.375000,15.125000,0
2025-03-21T06:00:00Z,170.200000,167.700000,24.000000,6.000000,15.000000,18.000000,9.000000,5.875000,19.250000,0
2025-03-21T09:00:00Z,170.200000,167.700000,24.000000,6.000000,6.000000,15.000000,18.000000,5.125000,20.250000,0
2025-03-21T12:00:00Z,170.200000,167.700000,24.000000,12.000000,6.000000,6.000000,15.000000,6.625000,19.875000,0
2025-03-21T15:00:00Z,170.200000,167.700000,24.000000,27.000000,12.000000,6.000000,6.000000,7.750000,17.250000,0
2025-03-21T18:00:00Z,170.200000,167.700000,24.000000,56.000000,27.000000,12.000000,6.000000,7.750000,14.625000,0
2025-03-21T21:00:00Z,170.200000,167.700000,24.000000,48.000000,56.000000,27.000000,12.000000,8.125000,13.500000,0
2025-03-22T00:00:00Z,165.300000,167.500000,32.000000,67.000000,48.000000,56.000000,27.000000,9.000000,12.250000,0
2025-03-22T03:00:00Z,165.300000,167.500000,32.000000,48.000000,67.000000,48.000000,56.000000,12.000000,10.375000,0
2025-03-22T06:00:00Z,165.300000,167.500000,32.000000,12.000000,48.000000,67.000000,48.000000,18.625000,5.875000,0
2025-03-22T09:00:00Z,165.300000,167.500000,32.000000,12.000000,12.000000,48.000000,67.000000,23.500000,5.125000,0
2025-03-22T12:00:00Z,165.300000,167.500000,32.000000,27.000000,12.000000,12.000000,48.000000,29.625000,6.625000,0
2025-03-22T15:00:00Z,165.300000,167.500000,32.000000,32.000000,27.000000,12.000000,12.000000,33.750000,7.750000,0
2025-03-22T18:00:00Z,165.300000,167.500000,32.000000,22.000000,32.000000,27.000000,12.000000,34.500000,7.750000,0
2025-03-22T21:00:00Z,165.300000,167.500000,32.000000,32.000000,22.000000,32.000000,27.000000,35.250000,8.125000,0
2025-03-23T00:00:00Z,177.900000,167.400000,9.000000,27.000000,32.000000,22.000000,32.000000,37.125000,9.000000,0
2025-03-23T03:00:00Z,177.900000,167.400000,9.000000,7.000000,27.000000,32.000000,22.000000,37.750000,12.000000,0
2025-03-23T06:00:00Z,177.900000,167.400000,9.000000,12.000000,7.000000,27.000000,32.000000,33.500000,18.625000,0
2025-03-23T09:00:00Z,177.900000,167.400000,9.000000,6.000000,12.000000,7.000000,27.000000,31.500000,23.500000,0
2025-03-23T12:00:00Z,177.900000,167.400000,9.000000,7.000000,6.000000,12.000000,7.000000,26.500000,29.625000,0
2025-03-23T15:00:00Z,177.900000,167.400000,9.000000,4.000000,7.000000,6.000000,12.000000,21.375000,33.750000,0
2025-03-23T18:00:00Z,177.900000,167.400000,9.000000,7.000000,4.000000,7.000000,6.000000,21.375000,34.500000,0
